"Pocet obyvatel","Rok","Kraj"
1251075,2014,"Hlavní město Praha"
1309139,2014,"Středočeský kraj"
636911,2014,"Jihočeský kraj"
573993,2014,"Plzeňský kraj"
299880,2014,"Karlovarský kraj"
824789,2014,"Ústecký kraj"
438813,2014,"Liberecký kraj"
551730,2014,"Královéhradecký kraj"
516109,2014,"Pardubický kraj"
510006,2014,"Kraj Vysočina"
1170678,2014,"Jihomoravský kraj"
636109,2014,"Olomoucký kraj"
585829,2014,"Zlínský kraj"
1219722,2014,"Moravskoslezský kraj"
1262507,2015,"Hlavní město Praha"
1320721,2015,"Středočeský kraj"
637292,2015,"Jihočeský kraj"
575665,2015,"Plzeňský kraj"
298506,2015,"Karlovarský kraj"
823381,2015,"Ústecký kraj"
439152,2015,"Liberecký kraj"
551270,2015,"Královéhradecký kraj"
516247,2015,"Pardubický kraj"
509507,2015,"Kraj Vysočina"
1173563,2015,"Jihomoravský kraj"
635094,2015,"Olomoucký kraj"
584828,2015,"Zlínský kraj"
1215209,2015,"Moravskoslezský kraj"
1272732,2016,"Hlavní město Praha"
1333249,2016,"Středočeský kraj"
638307,2016,"Jihočeský kraj"
577638,2016,"Plzeňský kraj"
297317,2016,"Karlovarský kraj"
822300,2016,"Ústecký kraj"
440179,2016,"Liberecký kraj"
551177,2016,"Královéhradecký kraj"
516553,2016,"Pardubický kraj"
509187,2016,"Kraj Vysočina"
1176972,2016,"Jihomoravský kraj"
634081,2016,"Olomoucký kraj"
584155,2016,"Zlínský kraj"
1211437,2016,"Moravskoslezský kraj"
1286554,2017,"Hlavní město Praha"
1345764,2017,"Středočeský kraj"
639180,2017,"Jihočeský kraj"
579228,2017,"Plzeňský kraj"
296106,2017,"Karlovarský kraj"
820937,2017,"Ústecký kraj"
440934,2017,"Liberecký kraj"
550848,2017,"Královéhradecký kraj"
517243,2017,"Pardubický kraj"
508664,2017,"Kraj Vysočina"
1180477,2017,"Jihomoravský kraj"
633133,2017,"Olomoucký kraj"
583039,2017,"Zlínský kraj"
1207419,2017,"Moravskoslezský kraj"
1301135,2018,"Hlavní město Praha"
1360998,2018,"Středočeský kraj"
640909,2018,"Jihočeský kraj"
582601,2018,"Plzeňský kraj"
295285,2018,"Karlovarský kraj"
820580,2018,"Ústecký kraj"
441608,2018,"Liberecký kraj"
550688,2018,"Královéhradecký kraj"
519125,2018,"Pardubický kraj"
509019,2018,"Kraj Vysočina"
1184729,2018,"Jihomoravský kraj"
632547,2018,"Olomoucký kraj"
582860,2018,"Zlínský kraj"
1204346,2018,"Moravskoslezský kraj"
