"Hodnota","Jednotka","Rok","Kategorie"
827795.1,"t",2009,"Odpady z obalů (EKO‑KOM)"
861300.0345,"t",2010,"Odpady z obalů (EKO‑KOM)"
879076.909,"t",2011,"Odpady z obalů (EKO‑KOM)"
892867.7541,"t",2012,"Odpady z obalů (EKO‑KOM)"
930390,"t",2013,"Odpady z obalů (EKO‑KOM)"
938666.1104000001,"t",2014,"Odpady z obalů (EKO‑KOM)"
1003682,"t",2015,"Odpady z obalů (EKO‑KOM)"
1052260,"t",2016,"Odpady z obalů (EKO‑KOM)"
1091050,"t",2017,"Odpady z obalů (EKO‑KOM)"
1200386,"t",2018,"Odpady z obalů (EKO‑KOM)"
66558.75530600004,"t",2009,"Ostatní vzniklé obalové odpady"
61425.91,"t",2010,"Ostatní vzniklé obalové odpady"
66239.09100000001,"t",2011,"Ostatní vzniklé obalové odpady"
69477.7622,"t",2012,"Ostatní vzniklé obalové odpady"
75358.94380000001,"t",2013,"Ostatní vzniklé obalové odpady"
81138.77429999982,"t",2014,"Ostatní vzniklé obalové odpady"
84080,"t",2015,"Ostatní vzniklé obalové odpady"
97582.87770000007,"t",2016,"Ostatní vzniklé obalové odpady"
104324.24300000002,"t",2017,"Ostatní vzniklé obalové odpady"
96497.30569999991,"t",2018,"Ostatní vzniklé obalové odpady"
678170.3049400001,"t",2009,"Celkové množství využitých odpadů z obalů v ČR"
719082.2325030002,"t",2010,"Celkové množství využitých odpadů z obalů v ČR"
711224,"t",2011,"Celkové množství využitých odpadů z obalů v ČR"
708426.5682,"t",2012,"Celkové množství využitých odpadů z obalů v ČR"
751629.1155,"t",2013,"Celkové množství využitých odpadů z obalů v ČR"
801207.2435,"t",2014,"Celkové množství využitých odpadů z obalů v ČR"
864449,"t",2015,"Celkové množství využitých odpadů z obalů v ČR"
919117.184794949,"t",2016,"Celkové množství využitých odpadů z obalů v ČR"
940117.2683,"t",2017,"Celkové množství využitých odpadů z obalů v ČR"
958487.3223,"t",2018,"Celkové množství využitých odpadů z obalů v ČR"
