"Hodnota","Jednotka","Rok","Typ Subjektu"
20573,"Počet",2009,"Klient"
20591,"Počet",2010,"Klient"
20482,"Počet",2011,"Klient"
20241,"Počet",2012,"Klient"
20233,"Počet",2013,"Klient"
20277,"Počet",2014,"Klient"
20382,"Počet",2015,"Klient"
20586,"Počet",2016,"Klient"
20778,"Počet",2017,"Klient"
21052,"Počet",2018,"Klient"
5861,"Počet",2009,"Obce"
5904,"Počet",2010,"Obce"
5993,"Počet",2011,"Obce"
6025,"Počet",2012,"Obce"
6057,"Počet",2013,"Obce"
6073,"Počet",2014,"Obce"
6085,"Počet",2015,"Obce"
6114,"Počet",2016,"Obce"
6123,"Počet",2017,"Obce"
6131,"Počet",2018,"Obce"
