"Hodnota","Jednotka","Rok","Financovani"
163284000,"Kč",2010,"Vlastní zdroje"
189607886,"Kč",2011,"Vlastní zdroje"
194012515,"Kč",2012,"Vlastní zdroje"
186198863,"Kč",2013,"Vlastní zdroje"
199870399,"Kč",2014,"Vlastní zdroje"
182639450,"Kč",2015,"Vlastní zdroje"
216099881,"Kč",2016,"Vlastní zdroje"
181713564,"Kč",2017,"Vlastní zdroje"
172243509,"Kč",2018,"Vlastní zdroje"
373741940,"Kč",2010,"Celkem"
385499723,"Kč",2011,"Celkem"
374155144,"Kč",2012,"Celkem"
368287010,"Kč",2013,"Celkem"
349840689,"Kč",2014,"Celkem"
360657184,"Kč",2015,"Celkem"
383705024,"Kč",2016,"Celkem"
357100791,"Kč",2017,"Celkem"
349972730,"Kč",2018,"Celkem"
165169530,"Kč",2010,"Příspěvek zřizovatele"
144712751,"Kč",2011,"Příspěvek zřizovatele"
130409000,"Kč",2012,"Příspěvek zřizovatele"
100800000,"Kč",2013,"Příspěvek zřizovatele"
105011000,"Kč",2014,"Příspěvek zřizovatele"
108968464,"Kč",2015,"Příspěvek zřizovatele"
106690033,"Kč",2016,"Příspěvek zřizovatele"
112072650,"Kč",2017,"Příspěvek zřizovatele"
120722326,"Kč",2018,"Příspěvek zřizovatele"
