"Hodnota","Jednotka","Rok","Druh"
100,"%",1990,"Lučních motýl"
96.07583866,"%",1991,"Lučních motýl"
92.56054512,"%",1992,"Lučních motýl"
89.50809421,"%",1993,"Lučních motýl"
86.97289117,"%",1994,"Lučních motýl"
84.87760842,"%",1995,"Lučních motýl"
83.07862158,"%",1996,"Lučních motýl"
82.11384096,"%",1997,"Lučních motýl"
82.10860615,"%",1998,"Lučních motýl"
82.30043672,"%",1999,"Lučních motýl"
81.92685219,"%",2000,"Lučních motýl"
80.75057714,"%",2001,"Lučních motýl"
79.12978418,"%",2002,"Lučních motýl"
77.19516498,"%",2003,"Lučních motýl"
74.74774506,"%",2004,"Lučních motýl"
71.8295765,"%",2005,"Lučních motýl"
68.93289078,"%",2006,"Lučních motýl"
66.54991939,"%",2007,"Lučních motýl"
64.51841543,"%",2008,"Lučních motýl"
62.57554446,"%",2009,"Lučních motýl"
61.0626566,"%",2010,"Lučních motýl"
59.98282181,"%",2011,"Lučních motýl"
59.16238547,"%",2012,"Lučních motýl"
58.67761091,"%",2013,"Lučních motýl"
58.60476142,"%",2014,"Lučních motýl"
58.95667654,"%",2015,"Lučních motýl"
59.67786369,"%",2016,"Lučních motýl"
60.74208807,"%",2017,"Lučních motýl"
