"Hodnota","Jednotka","Rok","Stát","Kategorie"
1354250,"Ha",2016,"Belgium","ZPF"
4491860,"Ha",2016,"Bulgaria","ZPF"
3455410,"Ha",2016,"Czechia","ZPF"
2614600,"Ha",2016,"Denmark","ZPF"
16715320,"Ha",2016,"Germany (until 1990 former territory of the FRG)","ZPF"
995100,"Ha",2016,"Estonia","ZPF"
4883640,"Ha",2016,"Ireland","ZPF"
4553830,"Ha",2016,"Greece","ZPF"
23229750,"Ha",2016,"Spain","ZPF"
27814160,"Ha",2016,"France","ZPF"
1562980,"Ha",2016,"Croatia","ZPF"
12598160,"Ha",2016,"Italy","ZPF"
111930,"Ha",2016,"Cyprus","ZPF"
1930880,"Ha",2016,"Latvia","ZPF"
2924600,"Ha",2016,"Lithuania","ZPF"
130650,"Ha",2016,"Luxembourg","ZPF"
4670560,"Ha",2016,"Hungary","ZPF"
11180,"Ha",2016,"Malta","ZPF"
1796260,"Ha",2016,"Netherlands","ZPF"
2669750,"Ha",2016,"Austria","ZPF"
14405650,"Ha",2016,"Poland","ZPF"
3641690,"Ha",2016,"Portugal","ZPF"
12502540,"Ha",2016,"Romania","ZPF"
488400,"Ha",2016,"Slovenia","ZPF"
1889820,"Ha",2016,"Slovakia","ZPF"
2194210,"Ha",2016,"Finland","ZPF"
3021350,"Ha",2016,"Sweden","ZPF"
16332230,"Ha",2016,"United Kingdom","ZPF"
855410,"Ha",2016,"Belgium","Orná půda"
0,"Ha",2016,"Bulgaria","Orná půda"
2473220,"Ha",2016,"Czechia","Orná půda"
2361200,"Ha",2016,"Denmark","Orná půda"
11819330,"Ha",2016,"Germany (until 1990 former territory of the FRG)","Orná půda"
686560,"Ha",2016,"Estonia","Orná půda"
458290,"Ha",2016,"Ireland","Orná půda"
1762250,"Ha",2016,"Greece","Orná půda"
11462910,"Ha",2016,"Spain","Orná půda"
18249970,"Ha",2016,"France","Orná půda"
881620,"Ha",2016,"Croatia","Orná půda"
7145040,"Ha",2016,"Italy","Orná půda"
84250,"Ha",2016,"Cyprus","Orná půda"
1284650,"Ha",2016,"Latvia","Orná půda"
2130250,"Ha",2016,"Lithuania","Orná půda"
61980,"Ha",2016,"Luxembourg","Orná půda"
3821830,"Ha",2016,"Hungary","Orná půda"
9110,"Ha",2016,"Malta","Orná půda"
1028170,"Ha",2016,"Netherlands","Orná půda"
1344380,"Ha",2016,"Austria","Orná půda"
10805610,"Ha",2016,"Poland","Orná půda"
1043300,"Ha",2016,"Portugal","Orná půda"
7813430,"Ha",2016,"Romania","Orná půda"
175120,"Ha",2016,"Slovenia","Orná půda"
1346500,"Ha",2016,"Slovakia","Orná půda"
2164960,"Ha",2016,"Finland","Orná půda"
2565450,"Ha",2016,"Sweden","Orná půda"
6027340,"Ha",2016,"United Kingdom","Orná půda"
855410,"Ha",2016,"Belgium","Trvalé travní porosty"
0,"Ha",2016,"Bulgaria","Trvalé travní porosty"
2473220,"Ha",2016,"Czechia","Trvalé travní porosty"
2361200,"Ha",2016,"Denmark","Trvalé travní porosty"
11819330,"Ha",2016,"Germany (until 1990 former territory of the FRG)","Trvalé travní porosty"
686560,"Ha",2016,"Estonia","Trvalé travní porosty"
458290,"Ha",2016,"Ireland","Trvalé travní porosty"
1762250,"Ha",2016,"Greece","Trvalé travní porosty"
11462910,"Ha",2016,"Spain","Trvalé travní porosty"
18249970,"Ha",2016,"France","Trvalé travní porosty"
881620,"Ha",2016,"Croatia","Trvalé travní porosty"
7145040,"Ha",2016,"Italy","Trvalé travní porosty"
84250,"Ha",2016,"Cyprus","Trvalé travní porosty"
1284650,"Ha",2016,"Latvia","Trvalé travní porosty"
2130250,"Ha",2016,"Lithuania","Trvalé travní porosty"
61980,"Ha",2016,"Luxembourg","Trvalé travní porosty"
3821830,"Ha",2016,"Hungary","Trvalé travní porosty"
9110,"Ha",2016,"Malta","Trvalé travní porosty"
1028170,"Ha",2016,"Netherlands","Trvalé travní porosty"
1344380,"Ha",2016,"Austria","Trvalé travní porosty"
10805610,"Ha",2016,"Poland","Trvalé travní porosty"
1043300,"Ha",2016,"Portugal","Trvalé travní porosty"
7813430,"Ha",2016,"Romania","Trvalé travní porosty"
175120,"Ha",2016,"Slovenia","Trvalé travní porosty"
1346500,"Ha",2016,"Slovakia","Trvalé travní porosty"
2164960,"Ha",2016,"Finland","Trvalé travní porosty"
2565450,"Ha",2016,"Sweden","Trvalé travní porosty"
6027340,"Ha",2016,"United Kingdom","Trvalé travní porosty"
