"Hodnota","Jednotka","Obdobi","Stanoviště","Stav"
34,"%","2007–2012","Coastal","Nepříznivý stav"
47.8,"%","2007–2012","Dunes","Nepříznivý stav"
17,"%","2007–2012","Freshwater","Nepříznivý stav"
26.2,"%","2007–2012","Heath & scrub","Nepříznivý stav"
6.1,"%","2007–2012","Sclerophyllous scrubs","Nepříznivý stav"
44.3,"%","2007–2012","Grasslands","Nepříznivý stav"
50.9,"%","2007–2012","Bogs, mires & fens","Nepříznivý stav"
8.6,"%","2007–2012","Rocky","Nepříznivý stav"
26.9,"%","2007–2012","Forests","Nepříznivý stav"
30.1,"%","2007–2012","EU-27","Nepříznivý stav"
10.6,"%","2007–2012","Coastal","Příznivý stav"
7.5,"%","2007–2012","Dunes","Příznivý stav"
16,"%","2007–2012","Freshwater","Příznivý stav"
26.2,"%","2007–2012","Heath & scrub","Příznivý stav"
30.3,"%","2007–2012","Sclerophyllous scrubs","Příznivý stav"
12.3,"%","2007–2012","Grasslands","Příznivý stav"
14.5,"%","2007–2012","Bogs, mires & fens","Příznivý stav"
34.3,"%","2007–2012","Rocky","Příznivý stav"
15,"%","2007–2012","Forests","Příznivý stav"
16.4,"%","2007–2012","EU-27","Příznivý stav"
44.7,"%","2007–2012","Coastal","Nedostatečný stav"
44.8,"%","2007–2012","Dunes","Nedostatečný stav"
56.4,"%","2007–2012","Freshwater","Nedostatečný stav"
45.2,"%","2007–2012","Heath & scrub","Nedostatečný stav"
57.6,"%","2007–2012","Sclerophyllous scrubs","Nedostatečný stav"
40.2,"%","2007–2012","Grasslands","Nedostatečný stav"
32.7,"%","2007–2012","Bogs, mires & fens","Nedostatečný stav"
35.7,"%","2007–2012","Rocky","Nedostatečný stav"
53.3,"%","2007–2012","Forests","Nedostatečný stav"
46.8,"%","2007–2012","EU-27","Nedostatečný stav"
10.6,"%","2007–2012","Coastal","Neznámý stav"
0,"%","2007–2012","Dunes","Neznámý stav"
10.6,"%","2007–2012","Freshwater","Neznámý stav"
2.4,"%","2007–2012","Heath & scrub","Neznámý stav"
6.1,"%","2007–2012","Sclerophyllous scrubs","Neznámý stav"
3.3,"%","2007–2012","Grasslands","Neznámý stav"
1.8,"%","2007–2012","Bogs, mires & fens","Neznámý stav"
21.4,"%","2007–2012","Rocky","Neznámý stav"
4.8,"%","2007–2012","Forests","Neznámý stav"
6.7,"%","2007–2012","EU-27","Neznámý stav"
