"Hodnota","Jednotka","Rok","Vzorky","Latka"
40,"Pocet","2018","Celkovy pocet vzorku","PCB"
40,"Pocet","2018","Celkovy pocet vzorku","PAH"
40,"Pocet","2018","Celkovy pocet vzorku","HCH"
40,"Pocet","2018","Celkovy pocet vzorku","HCB"
40,"Pocet","2018","Celkovy pocet vzorku","DDT"
2,"Pocet","2018","Pocet nadlimitnich vzorku","PCB"
7,"Pocet","2018","Pocet nadlimitnich vzorku","PAH"
0,"Pocet","2018","Pocet nadlimitnich vzorku","HCH"
0,"Pocet","2018","Pocet nadlimitnich vzorku","HCB"
6,"Pocet","2018","Pocet nadlimitnich vzorku","DDT"
